weather_severity,system_load,staffing_level,incident_type,delay_minutes,disruption,estimated_cost
0,High,Adequate,None,99,0,6717.67
1,Low,Adequate,None,163,0,9354.91
3,Low,Adequate,None,67,0,4020.74
0,Medium,Adequate,None,35,0,2357.16
2,High,Low,None,179,1,12866.69
0,Medium,Low,None,177,0,10380.2
1,Medium,Adequate,Major,168,1,12038.01
1,Low,Adequate,None,145,0,6612.46
1,Low,Low,Minor,21,1,5766.86
3,High,Adequate,None,65,1,11956.35
0,High,Adequate,None,20,0,1010.39
3,Low,Adequate,None,99,0,5079.13
3,High,Adequate,None,127,1,10114.89
1,Medium,Adequate,None,43,0,1720.31
1,High,Adequate,Minor,102,1,12397.92
3,Medium,Adequate,Minor,46,1,6567.03
0,Medium,Adequate,None,38,0,1805.55
2,Medium,Low,None,28,1,8055.36
3,Medium,Adequate,Major,53,1,9127.69
0,Low,Adequate,None,89,0,4071.36
1,Low,Low,None,84,0,4630.74
1,Medium,Adequate,None,16,0,1055.51
0,High,Adequate,Minor,79,1,11511.59
2,Low,Adequate,Major,158,1,14308.76
1,Medium,Low,None,72,1,8936.42
1,High,Low,Major,48,1,10227.59
1,Low,Adequate,Minor,100,0,5652.07
0,Medium,Low,None,1,0,64.5
3,Medium,Adequate,None,175,1,15821.67
1,High,Adequate,None,141,0,8992.96
3,Low,Low,Major,58,1,9057.7
2,Medium,Adequate,None,96,0,5260.82
1,High,Adequate,Minor,98,1,9258.37
1,High,Adequate,None,102,0,7092.03
2,Medium,Adequate,Minor,178,1,15568.02
1,Medium,Adequate,None,1,0,44.57
3,Medium,Adequate,None,40,1,9947.83
0,High,Adequate,Minor,122,1,9010.66
3,Medium,Adequate,Minor,81,1,10448.68
0,Low,Adequate,Major,143,1,15173.98
0,High,Adequate,None,131,0,6991.72
3,Medium,Adequate,Minor,139,1,13666.09
3,Medium,Adequate,None,28,1,5023.83
3,Low,Low,None,134,1,14601.32
3,Medium,Adequate,None,13,1,6083.51
2,Medium,Low,None,11,1,8049.57
1,Medium,Low,None,98,1,12154.14
0,Low,Low,Major,132,1,13214.4
3,Medium,Adequate,None,80,1,11771.82
3,High,Adequate,Minor,105,1,10970.2
3,Low,Adequate,None,31,0,2107.36
2,High,Adequate,None,73,1,9327.07
3,Medium,Adequate,None,170,1,17535.79
3,High,Adequate,Major,80,1,8117.07
3,High,Adequate,Major,68,1,8079.19
1,Medium,Adequate,Major,44,1,5881.4
2,High,Low,Major,105,1,14539.42
3,High,Adequate,None,136,1,11046.38
0,Medium,Adequate,None,176,0,11949.72
0,Medium,Adequate,Minor,160,0,8722.23
0,Medium,Low,None,99,0,5416.63
2,High,Adequate,None,145,1,12718.66
2,High,Low,None,8,1,3848.11
0,High,Adequate,None,61,0,2891.95
3,Medium,Adequate,None,28,1,8735.83
2,High,Adequate,None,124,1,15489.33
0,Low,Low,None,113,0,7717.82
0,Medium,Adequate,None,152,0,8452.25
3,Low,Adequate,None,142,0,8564.42
1,Medium,Adequate,None,133,0,8426.28
2,Medium,Adequate,Minor,119,1,10654.13
3,Medium,Low,None,169,1,15517.02
0,Medium,Adequate,None,156,0,6400.51
0,Medium,Adequate,Minor,78,0,4284.3
3,Medium,Adequate,None,92,1,9348.17
2,Low,Low,None,3,1,4508.53
1,Medium,Adequate,Minor,81,0,4127.07
1,Low,Adequate,None,176,0,9323.27
0,Low,Adequate,Minor,171,0,10036.87
2,Medium,Low,Minor,74,1,7468.13
1,Medium,Adequate,Minor,13,0,716.44
2,Medium,Low,None,130,1,9261.55
2,Medium,Low,None,113,1,12853.83
0,Medium,Low,None,61,0,3606.45
1,High,Adequate,None,105,0,5953.63
3,Medium,Adequate,None,63,1,7223.09
0,Medium,Adequate,None,101,0,5056.9
1,Low,Low,None,172,0,10827.95
1,Medium,Adequate,None,105,0,5563.22
1,Medium,Adequate,None,19,0,1035.99
1,Medium,Adequate,None,57,0,3388.25
1,Medium,Adequate,Minor,111,0,4501.13
2,Medium,Low,None,56,1,10706.59
0,Medium,Adequate,None,118,0,6909.79
2,High,Low,Major,96,1,10297.75
3,High,Adequate,None,91,1,10227.95
1,High,Low,None,51,1,9415.91
0,High,Low,None,36,1,5484.78
1,Low,Adequate,Minor,7,0,424.75
0,Low,Adequate,None,43,0,1883.96
2,Low,Low,None,97,1,11619.63
0,Medium,Adequate,None,132,0,7626.23
3,High,Adequate,Major,117,1,13261.08
3,Low,Low,None,68,1,7547.92
0,High,Adequate,None,158,0,7441.64
0,Low,Low,Major,44,1,9211.38
0,High,Adequate,None,136,0,5477.4
0,Medium,Adequate,Major,31,1,7998.07
3,Low,Low,None,32,1,9506.82
1,Medium,Low,Minor,125,1,11073.68
0,Low,Adequate,None,66,0,3158.11
0,Low,Adequate,Minor,29,0,1218.28
3,Medium,Adequate,Major,113,1,11052.89
3,High,Adequate,None,28,1,5574.92
2,Medium,Adequate,None,130,0,8637.79
0,Medium,Low,None,29,0,1521.84
2,Medium,Adequate,None,136,0,8378.96
3,High,Adequate,None,153,1,17890.01
3,Low,Low,None,129,1,14704.94
1,Medium,Low,None,61,1,6320.5
0,Low,Low,None,2,0,111.03
2,Low,Adequate,None,173,0,11632.95
3,Medium,Adequate,Minor,67,1,12088.43
3,Low,Low,None,24,1,4495.93
2,Medium,Adequate,None,178,0,10818.34
1,High,Low,None,140,1,11807.47
3,Low,Adequate,None,43,0,2890.63
0,Medium,Low,None,162,0,7075.26
3,Low,Adequate,None,54,0,3025.14
0,High,Adequate,None,136,0,9028.21
2,Medium,Adequate,Minor,129,1,9848.8
0,High,Adequate,None,40,0,2178.39
2,Medium,Low,Minor,171,1,11586.59
0,Low,Adequate,Minor,63,0,3045.69
2,Medium,Low,Minor,30,1,5909.36
0,High,Low,Major,46,1,9578.05
1,Medium,Adequate,None,129,0,6253.92
0,High,Low,None,95,1,9220.94
0,High,Low,Major,76,1,7744.57
1,Low,Adequate,None,109,0,4890.34
3,Low,Adequate,None,68,0,3712.34
3,Medium,Adequate,Minor,57,1,10587.79
0,Medium,Low,Minor,105,1,13932.41
1,High,Low,Major,43,1,7812.99
0,High,Adequate,Major,73,1,10417.79
2,Medium,Low,Minor,55,1,8429.67
2,Low,Low,None,170,1,18759.25
0,High,Adequate,Major,126,1,10666.14
3,Low,Adequate,None,161,0,10181.67
3,High,Adequate,None,29,1,5715.56
0,Medium,Low,Major,70,1,10441.51
0,Medium,Low,None,117,0,7207.06
2,Low,Adequate,None,54,0,3381.18
3,Medium,Low,None,66,1,6529.42
0,Medium,Adequate,Major,140,1,14053.79
2,Medium,Adequate,None,2,0,117.07
3,Low,Adequate,Minor,25,1,5562.25
1,High,Low,None,56,1,7478.44
2,High,Low,Minor,125,1,12747.76
3,Low,Adequate,Minor,151,1,15991.99
3,Low,Adequate,None,52,0,2501.74
2,Low,Adequate,None,42,0,2716.68
1,Medium,Low,None,48,1,8352.23
2,Medium,Low,Major,41,1,6225.7
3,Medium,Adequate,Minor,10,1,4273.09
0,Low,Adequate,Major,102,1,13259.87
0,Medium,Adequate,None,97,0,6003.98
2,Medium,Low,Minor,145,1,12648.03
3,Medium,Adequate,Minor,84,1,8123.69
0,High,Adequate,Minor,99,1,11526.84
3,Low,Adequate,Major,103,1,12088.22
2,Medium,Adequate,None,179,0,7439.06
0,Medium,Low,None,45,0,2960.66
3,Medium,Adequate,Minor,43,1,6198.56
0,High,Low,Minor,21,1,5266.44
2,Medium,Adequate,None,113,0,5339.58
3,High,Adequate,None,124,1,14492.67
0,Low,Adequate,None,123,0,8192.41
2,Low,Adequate,None,29,0,1489.16
0,High,Low,None,7,1,4508.32
0,Medium,Adequate,Minor,97,0,4161.74
1,Low,Adequate,Minor,56,0,3039.78
1,Low,Low,None,110,0,7672.56
2,Low,Low,None,72,1,11093.81
1,High,Adequate,None,114,0,5280.01
2,Low,Low,None,19,1,4764.99
1,Medium,Adequate,Minor,24,0,1128.21
0,Low,Adequate,Major,18,1,7981.95
2,Medium,Adequate,None,4,0,253.61
2,Low,Low,Minor,74,1,10703.2
0,Medium,Adequate,Major,127,1,10633.67
2,Low,Adequate,Minor,71,0,4804.34
2,High,Low,None,154,1,13475.93
1,Low,Adequate,Major,39,1,5439.21
2,Medium,Adequate,None,25,0,1376.45
3,High,Adequate,None,26,1,5452.25
0,Medium,Low,None,82,0,4657.33
1,Medium,Adequate,None,127,0,6933.2
1,Medium,Low,None,177,1,14080.22
3,Medium,Low,None,169,1,10714.76
0,Medium,Adequate,None,156,0,10043.59
0,High,Adequate,Minor,166,1,15366.76
1,Medium,Low,Major,168,1,15194.99
2,Medium,Low,None,32,1,7962.86
1,High,Low,Major,96,1,11881.3
0,Medium,Low,Major,110,1,13393.12
3,Low,Low,Minor,15,1,8405.56
1,Medium,Low,None,22,1,8111.33
0,High,Adequate,Minor,134,1,12058.86
1,Low,Adequate,Major,25,1,5270.73
2,Medium,Adequate,Minor,95,1,10775.03
1,Low,Adequate,None,11,0,500.58
1,Medium,Low,None,71,1,10098.64
0,Low,Adequate,Minor,132,0,6890.28
0,Medium,Adequate,None,105,0,5406.97
0,High,Adequate,None,116,0,7405.43
1,Medium,Adequate,None,176,0,9449.35
2,Medium,Adequate,Minor,25,1,5575.57
3,High,Adequate,Major,132,1,12658.78
3,High,Low,None,21,1,6293.7
0,Low,Adequate,Major,12,1,7978.68
0,Medium,Adequate,None,155,0,9044.2
1,Low,Adequate,Minor,160,0,9115.59
3,High,Adequate,Minor,106,1,12970.28
0,High,Low,Minor,22,1,8915.63
2,Medium,Adequate,Major,96,1,11945.88
2,High,Adequate,None,17,1,5728.75
0,Medium,Adequate,Major,116,1,12259.94
0,Medium,Adequate,None,29,0,1274.46
3,Low,Low,Minor,25,1,6169.36
3,High,Adequate,Minor,143,1,16888.55
1,Low,Adequate,Minor,38,0,2628.14
3,High,Adequate,None,160,1,15543.81
2,High,Adequate,Major,153,1,10698.7
2,High,Adequate,None,175,1,16753.84
0,Low,Adequate,None,165,0,8695.62
3,Medium,Low,Minor,129,1,9076.48
1,Low,Adequate,None,112,0,5966.44
2,Medium,Adequate,Minor,133,1,9764.17
2,Low,Adequate,None,45,0,2534.24
1,High,Adequate,None,49,0,2457.67
1,Medium,Adequate,Minor,165,0,8943.5
2,Medium,Low,None,105,1,11086.95
2,Medium,Adequate,None,145,0,9579.28
1,Medium,Low,Minor,154,1,12667.11
2,Medium,Adequate,None,168,0,8907.61
0,Medium,Low,Minor,71,1,10582.2
0,High,Low,None,73,1,9997.02
1,Medium,Adequate,Minor,16,0,697.48
3,High,Low,Minor,156,1,11999.11
1,High,Adequate,Minor,69,1,8931.67
1,Low,Adequate,None,149,0,6170.36
3,High,Low,Minor,5,1,4048.03
3,Low,Adequate,Minor,25,1,5166.28
3,High,Adequate,Minor,166,1,11069.12
0,Medium,Adequate,None,139,0,8947.76
2,High,Low,Major,98,1,12477.52
0,High,Low,Minor,141,1,13490.07
2,High,Low,None,21,1,5264.28
0,High,Low,None,50,1,7223.79
2,Medium,Low,Major,150,1,15232.16
0,Low,Adequate,None,175,0,9899.77
3,Medium,Adequate,Major,103,1,8428.54
1,Low,Adequate,Minor,177,0,7313.01
0,Medium,Adequate,Minor,88,0,5421.79
2,Medium,Low,None,140,1,12926.2
3,High,Low,None,137,1,9631.41
0,Medium,Low,Major,8,1,6722.54
0,High,Low,None,78,1,10303.48
3,Low,Adequate,Minor,51,1,9533.81
0,High,Adequate,None,129,0,8278.8
1,High,Adequate,None,152,0,6441.38
0,Medium,Adequate,None,12,0,548.94
1,Medium,Adequate,None,50,0,2579.35
1,High,Adequate,Major,33,1,6792.81
3,Low,Low,None,34,1,5572.86
0,Medium,Adequate,None,130,0,6450.78
3,Medium,Adequate,None,119,1,12517.41
0,Low,Low,None,69,0,4088.07
0,Medium,Adequate,None,175,0,7123.02
2,Low,Adequate,Major,146,1,15462.83
0,Low,Adequate,None,66,0,4372.52
3,Low,Adequate,None,102,0,5002.46
1,High,Low,None,72,1,7237.43
0,Medium,Adequate,Major,115,1,14080.8
2,High,Adequate,None,132,1,12374.66
3,Medium,Adequate,None,66,1,7484.63
0,Medium,Low,Minor,138,1,13031.25
3,Medium,Adequate,None,120,1,9850.1
2,Medium,Adequate,None,93,0,5456.91
2,Low,Adequate,None,128,0,5918.04
3,Medium,Adequate,Minor,90,1,10319.77
0,Low,Adequate,None,91,0,5127.53
1,Medium,Adequate,Minor,62,0,3007.32
2,Medium,Adequate,Minor,28,1,5355.54
0,Low,Low,None,11,0,718.01
0,Low,Adequate,None,76,0,4687.01
1,High,Low,None,40,1,4982.53
2,Medium,Adequate,Minor,129,1,9273.99
2,Low,Low,None,36,1,8555.36
0,High,Low,None,172,1,12895.69
0,Low,Low,None,175,0,12135.89
1,Medium,Low,Major,23,1,4714.21
1,High,Adequate,None,98,0,5353.16
2,Low,Adequate,Major,149,1,11220.35
3,Low,Adequate,None,99,0,5858.98
2,Low,Low,None,138,1,12872.29
0,Medium,Low,None,57,0,3015.84
2,Low,Low,None,173,1,13749.65
3,Medium,Low,None,28,1,9825.79
1,Low,Adequate,None,162,0,6677.25
3,Medium,Low,Major,142,1,16779.26
3,High,Adequate,Minor,59,1,8908.64
3,High,Low,Minor,94,1,11438.45
1,Medium,Low,None,41,1,5813.37
3,Medium,Adequate,None,42,1,5333.88
3,Medium,Adequate,None,73,1,9052.79
3,Medium,Low,Minor,176,1,14830.18
0,Medium,Low,Major,159,1,15035.37
3,Low,Adequate,None,63,0,3205.28
1,High,Low,None,1,1,6315.1
3,Medium,Low,None,151,1,17068.32
3,Low,Adequate,None,65,0,2676.62
1,Medium,Adequate,None,165,0,9841.79
3,Medium,Adequate,Minor,30,1,7483.73
1,High,Adequate,Minor,114,1,12516.62
3,High,Adequate,None,25,1,4603.87
1,High,Adequate,None,28,0,1566.95
3,Low,Adequate,Major,77,1,7830.16
3,Medium,Adequate,None,24,1,4827.81
0,Medium,Low,None,47,0,1975.89
0,Low,Adequate,None,64,0,2932.08
3,Low,Adequate,None,66,0,3064.84
3,High,Adequate,None,89,1,10175.89
2,Low,Adequate,Minor,145,0,6622.75
1,Medium,Adequate,None,136,0,7779.85
2,Low,Low,None,37,1,6434.14
0,Low,Adequate,Minor,86,0,5662.99
0,Low,Low,None,148,0,10103.3
0,High,Low,Major,64,1,9113.19
0,High,Low,Major,148,1,15202.08
3,High,Adequate,None,26,1,4431.97
0,Medium,Low,Minor,105,1,9872.15
3,Low,Adequate,None,122,0,5862.71
3,Medium,Adequate,Major,43,1,10164.95
0,Medium,Low,None,99,0,5544.84
0,High,Adequate,Major,27,1,7712.17
1,Low,Adequate,Minor,172,0,8924.79
2,Medium,Low,None,16,1,5182.69
0,Low,Adequate,None,126,0,6889.64
1,Medium,Low,Major,122,1,9851.25
1,High,Adequate,Major,167,1,14683.82
2,Medium,Adequate,None,130,0,6974.31
3,Medium,Adequate,Minor,75,1,10345.25
0,Medium,Adequate,None,45,0,2753.97
2,Medium,Low,None,157,1,13934.82
0,High,Low,None,68,1,10992.38
1,High,Adequate,None,136,0,5612.18
1,High,Adequate,Minor,84,1,7755.65
3,High,Adequate,None,10,1,7012.44
1,Medium,Adequate,Minor,68,0,3063.62
1,Medium,Adequate,None,98,0,6155.77
2,Medium,Adequate,None,90,0,6259.31
0,Low,Low,None,158,0,10802.97
0,High,Adequate,None,160,0,7346.11
2,Low,Adequate,None,166,0,10999.31
3,High,Low,None,93,1,11214.25
0,Medium,Adequate,None,173,0,9275.46
1,Medium,Adequate,None,164,0,9219.81
0,Medium,Adequate,None,114,0,7465.63
1,High,Low,None,30,1,4695.9
3,Medium,Adequate,Major,10,1,6988.11
2,Medium,Adequate,Major,86,1,9802.57
0,Low,Adequate,None,120,0,6884.87
2,Medium,Low,None,129,1,12137.13
0,Low,Low,None,104,0,6970.83
1,High,Adequate,Major,26,1,9151.36
2,Medium,Adequate,None,1,0,59.0
0,Medium,Adequate,None,102,0,4384.46
1,Low,Adequate,None,100,0,5812.52
2,Low,Low,None,20,1,8495.83
2,High,Adequate,None,57,1,5977.09
0,Low,Low,Minor,132,0,7368.15
0,Low,Adequate,None,179,0,9322.96
0,Low,Adequate,Minor,172,0,9918.26
1,High,Adequate,None,84,0,3584.84
0,High,Adequate,None,92,0,4869.51
2,Medium,Adequate,Major,19,1,6074.2
2,Low,Low,None,60,1,7347.66
0,Medium,Low,Minor,37,1,6701.14
0,High,Adequate,None,147,0,8911.6
3,Medium,Adequate,None,24,1,7642.81
2,Low,Low,Major,129,1,12150.99
1,Low,Adequate,None,120,0,8313.14
3,Low,Adequate,Major,159,1,12280.32
0,Medium,Adequate,None,25,0,1317.86
0,High,Adequate,Major,168,1,14357.65
2,Low,Adequate,None,66,0,2688.9
0,Low,Low,None,0,0,0.0
1,Low,Low,Minor,50,1,8274.1
2,High,Adequate,Major,4,1,3241.89
0,Low,Adequate,Major,12,1,4202.4
2,High,Low,Minor,146,1,11162.15
0,Medium,Adequate,Major,139,1,15185.22
0,Medium,Adequate,None,47,0,2847.29
0,Low,Adequate,None,152,0,7219.55
1,Low,Low,None,56,0,2350.21
1,Medium,Adequate,None,114,0,6921.9
2,High,Adequate,None,34,1,8846.46
0,Medium,Adequate,None,75,0,3910.17
0,Medium,Adequate,None,93,0,4734.48
1,Low,Adequate,Minor,4,0,186.02
0,High,Adequate,None,21,0,1261.86
1,High,Low,None,102,1,13193.85
0,Low,Adequate,None,174,0,7877.23
2,High,Adequate,Minor,130,1,15460.82
0,Medium,Adequate,Minor,123,0,6485.24
0,Medium,Low,Minor,52,1,9661.57
3,High,Low,None,158,1,14886.97
1,High,Adequate,None,68,0,4403.28
0,Medium,Adequate,None,103,0,5619.44
0,Low,Adequate,None,160,0,9008.35
3,Medium,Adequate,None,177,1,14268.68
3,High,Adequate,None,15,1,7827.72
1,Low,Adequate,None,115,0,4896.39
3,Medium,Adequate,Major,75,1,10461.03
2,Medium,Adequate,Major,108,1,10591.15
3,Medium,Adequate,None,38,1,5497.7
2,Medium,Low,None,88,1,10626.67
1,High,Adequate,None,173,0,9077.87
1,Low,Adequate,None,111,0,6002.36
1,Low,Low,Major,46,1,8319.1
1,Low,Low,None,171,0,7356.18
1,High,Low,Minor,136,1,10524.22
2,Medium,Low,None,127,1,11226.15
2,Low,Low,Major,177,1,18515.57
1,High,Adequate,None,76,0,3692.59
3,High,Adequate,Minor,14,1,4890.35
0,High,Adequate,None,35,0,1603.12
1,High,Low,Minor,62,1,9209.3
3,Low,Low,None,68,1,8814.24
0,High,Adequate,None,168,0,11239.6
1,Medium,Adequate,Major,73,1,6821.48
1,High,Adequate,Major,23,1,8544.67
2,High,Adequate,Major,48,1,7268.96
0,High,Adequate,Minor,145,1,10921.07
0,Medium,Low,Minor,6,1,5666.87
3,Low,Adequate,None,3,0,126.76
2,Medium,Low,None,89,1,11236.21
2,High,Adequate,None,59,1,11147.52
2,High,Adequate,Minor,54,1,7227.52
2,Low,Low,None,15,1,8238.26
0,Low,Low,None,28,0,1588.24
0,Low,Low,None,150,0,7152.1
1,High,Adequate,Minor,13,1,5002.57
1,High,Low,None,78,1,9276.88
2,Low,Adequate,None,176,0,9872.25
2,Medium,Low,None,32,1,8820.13
2,High,Adequate,None,152,1,10328.12
1,High,Adequate,None,20,0,1162.4
3,Medium,Adequate,Minor,144,1,14220.18
3,Medium,Adequate,Minor,22,1,6152.7
1,Medium,Low,Minor,56,1,9485.57
1,Low,Low,None,141,0,7351.91
1,Medium,Adequate,Minor,92,0,4301.57
1,Medium,Adequate,None,19,0,906.54
1,High,Adequate,None,157,0,8538.23
1,Medium,Low,Minor,18,1,6515.84
2,High,Low,None,102,1,12128.96
2,Low,Low,None,76,1,6937.94
2,Medium,Adequate,Major,150,1,13464.56
2,Low,Low,None,32,1,7955.81
1,Low,Adequate,Minor,17,0,1106.68
3,High,Low,None,72,1,10967.1
0,High,Adequate,Minor,160,1,15204.71
1,Low,Low,None,159,0,7953.86
0,Medium,Adequate,None,16,0,1032.59
3,High,Adequate,Minor,18,1,6723.09
2,Low,Low,None,69,1,8937.45
3,Medium,Adequate,None,119,1,9988.74
1,High,Adequate,None,100,0,5194.75
2,Medium,Adequate,None,33,0,1812.2
1,Low,Adequate,None,83,0,4981.86
2,Medium,Low,None,152,1,12740.38
0,High,Adequate,Major,73,1,11047.55
0,Medium,Low,None,87,0,4645.99
0,Low,Low,None,84,0,4224.28
3,High,Adequate,None,10,1,6684.95
1,Low,Low,None,90,0,4786.56
3,High,Adequate,Major,143,1,13616.36
0,Low,Adequate,None,126,0,6565.78
1,High,Adequate,Major,112,1,13242.83
0,Medium,Adequate,None,79,0,4157.52
3,Medium,Low,Minor,6,1,8126.1
3,Low,Low,None,15,1,7959.6
3,Medium,Adequate,Major,15,1,6901.84
0,High,Low,None,167,1,11488.78
1,High,Low,None,11,1,4589.69
1,Medium,Adequate,None,34,0,1703.58
0,Medium,Adequate,None,20,0,1141.69
1,High,Adequate,Major,177,1,16132.84
0,High,Low,None,170,1,12774.17
1,Medium,Adequate,None,16,0,674.84
2,Medium,Low,Minor,31,1,9919.36
2,Medium,Low,None,40,1,5395.04
3,Medium,Adequate,Major,133,1,15648.05
2,Low,Adequate,Minor,26,0,1463.44
2,Medium,Adequate,None,147,0,9553.06
2,Medium,Low,Major,152,1,13274.96
0,High,Adequate,None,65,0,2853.08
2,Low,Adequate,None,136,0,7711.82
2,Medium,Adequate,None,91,0,6223.61
3,Medium,Adequate,None,60,1,7652.79
2,Medium,Adequate,Minor,165,1,14109.51
2,Low,Adequate,Major,2,1,5607.05
1,Medium,Adequate,None,102,0,6927.17
3,Medium,Adequate,None,54,1,7949.13
3,Medium,Adequate,Major,0,1,4834.79
3,Medium,Adequate,None,100,1,7487.2
3,Medium,Adequate,None,44,1,5170.35
3,High,Adequate,None,174,1,14408.71
3,Low,Low,Major,25,1,4986.67
0,High,Adequate,None,120,0,5826.88
2,Medium,Adequate,Minor,141,1,13716.5
3,Low,Adequate,Minor,45,1,6056.79
2,Low,Low,None,121,1,11339.38
2,Medium,Adequate,None,30,0,1532.44
0,High,Low,Minor,58,1,10557.84
3,High,Adequate,None,28,1,7015.65
1,High,Adequate,Minor,105,1,11023.02
0,Medium,Adequate,Major,16,1,6398.52
1,Medium,Adequate,Minor,141,0,8231.65
2,Low,Adequate,Minor,163,0,9382.49
2,Medium,Adequate,Minor,23,1,4870.52
0,Medium,Low,Minor,108,1,14380.12
0,Low,Adequate,None,90,0,4300.51
1,Low,Adequate,None,24,0,1020.95
3,Medium,Adequate,None,31,1,7901.97
1,High,Adequate,Minor,115,1,10194.31
0,High,Adequate,None,81,0,4455.48
1,High,Low,Minor,109,1,12379.6
0,Medium,Adequate,None,145,0,8850.63
1,Medium,Adequate,Minor,36,0,2292.16
0,Medium,Adequate,None,25,0,1263.23
0,High,Adequate,Minor,136,1,13769.58
0,Low,Low,None,63,0,3264.06
3,Medium,Low,None,71,1,6975.12
1,High,Adequate,None,147,0,6149.97
1,Medium,Adequate,Minor,105,0,6061.39
1,Medium,Low,None,85,1,10206.66
0,Medium,Adequate,None,157,0,7065.77
1,Low,Adequate,Major,52,1,5302.93
1,Medium,Adequate,Minor,91,0,5768.12
0,Medium,Adequate,Major,98,1,10519.2
2,Low,Low,None,10,1,8414.52
0,Low,Low,None,30,0,1833.54
1,High,Adequate,Major,176,1,19128.69
0,Low,Adequate,None,99,0,5174.51
2,Medium,Adequate,Minor,86,1,8351.81
0,Low,Adequate,None,146,0,7876.06
1,High,Adequate,None,139,0,8189.55
2,Low,Adequate,None,14,0,748.83
3,Medium,Adequate,None,158,1,14509.77
1,High,Adequate,None,170,0,9390.28
2,High,Adequate,None,100,1,9686.3
2,Low,Low,Major,164,1,14554.04
3,High,Adequate,None,28,1,9350.33
0,Medium,Low,Minor,113,1,14033.58
0,Medium,Adequate,Minor,106,0,4600.57
1,Low,Adequate,None,153,0,9427.63
3,Low,Adequate,None,107,0,5885.98
0,High,Adequate,Minor,129,1,13941.82
3,Medium,Low,Minor,83,1,9877.47
0,Medium,Low,Minor,14,1,6108.31
2,High,Adequate,Minor,131,1,11617.6
0,High,Low,Major,49,1,5674.47
3,Low,Adequate,None,165,0,8417.49
2,Medium,Adequate,None,22,0,1237.92
2,Low,Adequate,Minor,58,0,2577.7
2,High,Adequate,None,89,1,11138.41
3,Medium,Low,Major,114,1,9438.57
1,High,Adequate,None,74,0,3334.29
1,Low,Adequate,None,155,0,8900.71
1,Low,Low,Minor,122,1,14311.08
3,Low,Adequate,None,135,0,9112.4
2,Low,Low,None,156,1,13564.25
1,Low,Adequate,None,138,0,8301.17
3,High,Adequate,Major,17,1,6230.34
1,Low,Low,None,49,0,1961.89
0,Low,Adequate,Major,141,1,12922.97
1,High,Adequate,None,117,0,6556.29
1,Medium,Adequate,Minor,136,0,8194.53
2,High,Adequate,Minor,138,1,12243.44
3,Low,Adequate,None,107,0,6625.48
2,Medium,Low,None,66,1,7802.69
2,Low,Low,None,166,1,13070.19
2,Low,Low,Minor,77,1,8688.42
2,High,Adequate,None,155,1,13461.11
2,Low,Adequate,Minor,74,0,4569.31
1,Medium,Adequate,None,38,0,2540.03
2,Medium,Adequate,None,24,0,1044.64
2,Medium,Low,None,20,1,8754.66
3,High,Adequate,None,137,1,10785.35
0,Low,Low,None,170,0,6860.08
1,Medium,Low,Major,14,1,8661.75
1,High,Low,Minor,47,1,7167.3
1,Medium,Adequate,None,85,0,5103.45
2,High,Low,Major,148,1,13664.49
2,Low,Low,Minor,115,1,11223.36
2,Medium,Low,Major,49,1,9869.75
3,Low,Low,None,150,1,11117.91
0,High,Adequate,None,140,0,8415.07
2,High,Adequate,None,68,1,6826.88
0,Low,Adequate,Minor,3,0,176.23
3,Medium,Adequate,None,77,1,7970.45
1,Low,Low,None,8,0,370.69
2,Medium,Adequate,None,120,0,5927.46
0,Medium,Low,None,114,0,5171.64
0,High,Low,Minor,162,1,16563.46
2,Medium,Low,None,100,1,10496.73
1,Medium,Low,None,148,1,11638.49
1,Low,Low,Minor,145,1,13128.85
1,Low,Adequate,Major,96,1,10777.18
3,Low,Adequate,Minor,80,1,12916.56
0,Low,Low,Major,42,1,10592.56
0,High,Low,Minor,94,1,12306.02
0,Medium,Adequate,None,5,0,329.16
3,Medium,Low,None,66,1,9099.65
0,Low,Low,Minor,139,0,6215.67
3,High,Adequate,Minor,99,1,13486.48
1,High,Low,Minor,11,1,5574.19
2,Low,Low,None,65,1,11677.5
0,High,Adequate,None,1,0,66.69
0,Medium,Low,None,142,0,7556.25
1,Low,Adequate,None,150,0,10055.3
2,Medium,Adequate,None,156,0,9753.13
3,Medium,Low,Minor,80,1,8595.73
2,Low,Adequate,None,134,0,7784.95
1,High,Adequate,None,155,0,7713.95
1,High,Low,None,141,1,14143.4
2,Medium,Adequate,Minor,171,1,17146.55
3,Medium,Low,None,157,1,12247.63
3,Medium,Adequate,None,159,1,14222.86
0,Medium,Low,None,69,0,4050.26
3,Medium,Adequate,None,114,1,10159.03
2,Low,Low,Major,87,1,9629.11
1,Medium,Adequate,Major,5,1,5292.06
0,High,Low,None,26,1,5291.36
0,Medium,Adequate,None,81,0,4305.07
1,Low,Adequate,Minor,87,0,4165.63
3,High,Adequate,None,119,1,12017.64
1,Low,Adequate,None,23,0,1395.51
3,Low,Adequate,None,101,0,5599.15
1,Low,Adequate,Major,33,1,6553.97
2,Medium,Adequate,None,167,0,8281.14
3,High,Low,None,46,1,8377.6
2,Medium,Adequate,Minor,23,1,6687.19
0,Low,Adequate,None,64,0,2843.11
1,High,Adequate,None,17,0,717.36
0,High,Adequate,Major,43,1,8248.27
0,High,Adequate,None,75,0,4692.92
0,Low,Low,Minor,56,0,3505.57
0,Medium,Adequate,None,106,0,6517.91
1,High,Adequate,None,155,0,9312.64
